column,role,in_config_a,in_config_b,notes
lc_bare_pct,hard_drop,False,False,Dropped before feature selection.
lc_builtup_pct,hard_drop,False,False,Dropped before feature selection.
lc_grass_pct,hard_drop,False,False,Dropped before feature selection.
lc_shrub_pct,hard_drop,False,False,Dropped before feature selection.
lc_wetland_pct,hard_drop,False,False,Dropped before feature selection.
lst_c_min,hard_drop,False,False,Dropped before feature selection.
lst_k_mean,hard_drop,False,False,Dropped before feature selection.
ndwi_mean,hard_drop,False,False,Dropped before feature selection.
no2_tropospheric_mean,hard_drop,False,False,Dropped before feature selection.
ntl_avg_radiance_sum,hard_drop,False,False,Dropped before feature selection.
population_count,hard_drop,False,False,Dropped before feature selection.
s1_available,hard_drop,False,False,Dropped before feature selection.
s5p_available,hard_drop,False,False,Dropped before feature selection.
sar_vv_vh_ratio,hard_drop,False,False,Dropped before feature selection.
temp_2m_K_mean,hard_drop,False,False,Dropped before feature selection.
total_precip_m,hard_drop,False,False,Dropped before feature selection.
ui_mean,hard_drop,False,False,Dropped before feature selection.
water_recurrence_pct,hard_drop,False,False,Dropped before feature selection.
water_seasonality_months,hard_drop,False,False,Dropped before feature selection.
wind_u_ms_mean,hard_drop,False,False,Dropped before feature selection.
wind_v_ms_mean,hard_drop,False,False,Dropped before feature selection.
district,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
division,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
grid_id,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
grid_x,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
grid_y,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
season,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
year,id_context,False,False,"Kept for joining, grouping, validation, and mapping; not a model feature."
lst_background_du,leakage_excluded,False,False,Excluded from Config A/B feature lists.
reference_lst_derived,leakage_excluded,False,False,Excluded from Config A/B feature lists.
suhi_derived,leakage_excluded,False,False,Excluded from Config A/B feature lists.
suhi_du,leakage_excluded,False,False,Excluded from Config A/B feature lists.
lst_c_max,passthrough_not_feature; leakage_excluded,False,False,Context/secondary target column; not a predictor.; Excluded from Config A/B feature lists.
reference_lst_mean,passthrough_not_feature; leakage_excluded,False,False,Context/secondary target column; not a predictor.; Excluded from Config A/B feature lists.
suhi_max,passthrough_not_feature; leakage_excluded,False,False,Context/secondary target column; not a predictor.; Excluded from Config A/B feature lists.
suhi_mean,passthrough_not_feature; leakage_excluded,False,False,Context/secondary target column; not a predictor.; Excluded from Config A/B feature lists.
lst_c_mean,target; leakage_excluded,False,False,"Primary supervised target, never a predictor.; Excluded from Config A/B feature lists."
