project,export_folder,log_file,description,task_id
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2022_pre_monsoon_1000m,QPDSVN7C2RDPM4YDIC56PQGA
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2022_pre_monsoon_1000m,CNV43KZUFAFYY67HSMO32JXH
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2023_pre_monsoon_1000m,I26JKWHOUZSFOLM465USNUCL
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2023_pre_monsoon_1000m,XXKWIZRGSNDU42GSJHTRGCMN
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2024_pre_monsoon_1000m,5W6SS24NLFMHW6KLWRXJYBZ7
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2024_pre_monsoon_1000m,XSGST5EVDYDG2ZYLMKTWLSDM
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_grid_2017_2024_pre_monsoon_1000m,K63U4J35FW3ELH2NTJN65LLV
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_174956.log,dhaka_urban_heat_validation_2017_2024_pre_monsoon_1000m,GMINDAGAXEPJD4WJTUUQOKR7
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2017_monsoon_1000m,L7YEB5TPTMRN7B4256R5YNJX
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2017_monsoon_1000m,TNATCGPHMIKNWXL6XZNX5AAL
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2018_monsoon_1000m,27Z24ZS2DLEIXNPTD6PJ5G5Z
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2018_monsoon_1000m,AS3N3I74LUSGLKQDS4UWXG43
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2019_monsoon_1000m,H5B2EDJERUG5ZTDJG4FP4CAF
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2019_monsoon_1000m,3BEX5DILV2CDITWHLAAI752E
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2020_monsoon_1000m,PS65XQU5U2EPKUPND3QRJ5QE
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2020_monsoon_1000m,LLTPVHV5YVQXTDQU5DYF6VHT
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2021_monsoon_1000m,BK5VWGNL6JJ7WFU5TZRXVCSG
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2021_monsoon_1000m,MYEYHRCR2W45WV72AJX65CSU
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2022_monsoon_1000m,5HFBKRXE4LAGMWTKAVQKS35T
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2022_monsoon_1000m,DVR55VUWSBDYL6LUMDFHG7WN
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2023_monsoon_1000m,6NK5TUZQ4WGP2WOLSM4RRHPK
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2023_monsoon_1000m,2U7VLWDM6L6AWNWK4TUSI3CP
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2024_monsoon_1000m,I7FBWR2N4AGYL4BSJWAIIL7U
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2024_monsoon_1000m,GF6BCTTLSYCJQMQ77UXXRZ6C
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_grid_2017_2024_monsoon_1000m,ZZJF765PKBRXBQLMCM3U3WCC
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175030.log,dhaka_urban_heat_validation_2017_2024_monsoon_1000m,7EPAFH5EG2WWKMAYGZ5EX57K
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2017_post_monsoon_1000m,MMLO6HNGHV7KBXWKG77TY2DH
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2017_post_monsoon_1000m,SF2FCB36JLYDIFLNHYAXFMCN
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2018_post_monsoon_1000m,N3QESOJFJLW6FXDDKWWKFBX7
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2018_post_monsoon_1000m,NTI5Y6GHEPWERBV2PHXEMRI4
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2019_post_monsoon_1000m,BG2AZCEGR3DI35ER2EROAA6F
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2019_post_monsoon_1000m,ZBMWOCIVAVWH65HYY62QJ7NK
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2020_post_monsoon_1000m,ZPLCY5EIGYP3W7JWPUJTPWP5
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2020_post_monsoon_1000m,XIWVWUVRTEOECG2ZPJXJ2YXE
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2021_post_monsoon_1000m,AVA6ELFVCJENT4RZ772CJERG
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2021_post_monsoon_1000m,X4EBH5L6U2UUZ3IAILWYGOPA
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2022_post_monsoon_1000m,ZQBNZGURKJY6VYYCZJO7UK3O
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2022_post_monsoon_1000m,HLYG6OKZTMJ64AVGKRMTPCGD
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2023_post_monsoon_1000m,GSXCV7ULIKKDMYHTM3WN54WD
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2023_post_monsoon_1000m,NNACGIJLC6MXPIEG6CJNYGRI
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2024_post_monsoon_1000m,RTV7W4KYBRIQMVUOP347JLNS
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2024_post_monsoon_1000m,TPVJE3FG7LL5U4HPZQ6GHUBZ
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_grid_2017_2024_post_monsoon_1000m,AH3BLYCUYUMWDVONMCSEBTZG
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175112.log,dhaka_urban_heat_validation_2017_2024_post_monsoon_1000m,GAJNLBGUVFRZWS5SE4MRJCKA
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2017_winter_1000m,6MJDRR2O2YAVST3FVOHSKV4N
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2017_winter_1000m,UM6Z5FKZJHSLXAMXOV3TFCEV
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2018_winter_1000m,X3NRGU364YDZBUL3ZXSN5TFV
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2018_winter_1000m,PE44ACDCMZBF7E5ELQ6TLWLA
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2019_winter_1000m,KRT3ZGUEBADWC4YTUXRFEN2I
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2019_winter_1000m,LBTTMLYRDEH7L4GQWH46GKQZ
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2020_winter_1000m,V5JP6FVOO6W775XDTQ5HVQYQ
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2020_winter_1000m,RUSEQU6TCM2PGY2VN37KEQL3
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2021_winter_1000m,FMORSSEAWVVV3G33RYYLO7UL
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2021_winter_1000m,WADHSWJ2UX6X2YDCR3VLMAOF
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2022_winter_1000m,4622O3GDF3IDZNYE7N5MH5AO
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2022_winter_1000m,GXREOAG4JA2VDSWBZQNF2K6Q
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2023_winter_1000m,42YAJCI6PREC5RMMZ5OUBRGB
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2023_winter_1000m,J4WA5W6NITS3KAR4DSWLCD5A
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2024_winter_1000m,SNFP5OE6BQCQRK6LKSJMK7VB
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2024_winter_1000m,2XF32ARRY3BSDBINXC4725DV
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_grid_2017_2024_winter_1000m,EAFRHHOJ67ZD3UKE37WBSXBM
thesis-01-496711,Dhaka_Urban_Heat_Data_Thesis_01,pipeline_20260518_175159.log,dhaka_urban_heat_validation_2017_2024_winter_1000m,J7GYE6NECW2O667U4WC2MVZJ
