description,task_id,state,creation_timestamp_ms,update_timestamp_ms,error_message
dhaka_urban_heat_grid_2019_monsoon_1000m,BY7VG2QBZG6D6VQXIYUJNYIX,READY,1779055586031,1779055586031,
dhaka_urban_heat_validation_2019_monsoon_1000m,254PXVHEASS7SGTURM6CLCZJ,READY,1779055586827,1779055586827,
dhaka_urban_heat_grid_2020_monsoon_1000m,XWYGG6FQOMJPLEXCYSRMIZHE,READY,1779055588654,1779055588654,
dhaka_urban_heat_validation_2020_monsoon_1000m,6P3PPTBP6CDSLDRYGDSNED6P,READY,1779055589682,1779055589682,
dhaka_urban_heat_grid_2021_monsoon_1000m,7UPZUVK3WSWEWCJNRRL5QAMB,READY,1779055591558,1779055591558,
dhaka_urban_heat_validation_2021_monsoon_1000m,TEHAVVT3QEQIAW7Z2MIE7FXM,READY,1779055593488,1779055593488,
dhaka_urban_heat_grid_2022_monsoon_1000m,RFUEZ3JRLZ7ZFZ45TZQKHWPD,READY,1779055595609,1779055595609,
dhaka_urban_heat_validation_2022_monsoon_1000m,N45CFTUK5JP57RBGLTNG7Q4Q,READY,1779055598099,1779055598099,
dhaka_urban_heat_grid_2023_monsoon_1000m,OGWXDRNKRWMNWIEM6V3PHRPW,READY,1779055599995,1779055599995,
dhaka_urban_heat_validation_2023_monsoon_1000m,7QLDMZKAUYEJMB72T5HUGDUJ,READY,1779055601828,1779055601828,
dhaka_urban_heat_grid_2024_monsoon_1000m,AZVHY6A7TF5X7OXOOM2WK3KD,READY,1779055602736,1779055602736,
dhaka_urban_heat_validation_2024_monsoon_1000m,Y3LSW33UWKN32Z27IUAZ6DHX,READY,1779055608097,1779055608097,
dhaka_urban_heat_grid_2017_2024_monsoon_1000m,RDJHPT5YZO4YCGGUSH535LOK,READY,1779055616056,1779055616056,
dhaka_urban_heat_validation_2017_2024_monsoon_1000m,Q6F3NIHZIWRXRPMH5GGCMCJW,READY,1779055619739,1779055619739,
dhaka_urban_heat_grid_2017_post_monsoon_1000m,R6K4I7WOOF3UYEKSLBA5WY5I,READY,1779055632808,1779055632808,
dhaka_urban_heat_validation_2017_post_monsoon_1000m,FCDED53SOA7RZG5CH7PS75K2,READY,1779055634655,1779055634655,
dhaka_urban_heat_grid_2018_post_monsoon_1000m,AL5ONLYGBDK7ETNBXJ76AFWW,READY,1779055635720,1779055635720,
dhaka_urban_heat_validation_2018_post_monsoon_1000m,FOXKDO4KTLNVZKY6RZ3X4XAA,READY,1779055638018,1779055638018,
dhaka_urban_heat_grid_2019_post_monsoon_1000m,PSV4NTPSP72N7TEWJXZZCFZB,READY,1779055639804,1779055639804,
dhaka_urban_heat_validation_2019_post_monsoon_1000m,RVZT66DUQMYTC65STAD6V36N,READY,1779055641653,1779055641653,
dhaka_urban_heat_grid_2020_post_monsoon_1000m,GD6BEEFIP43MNVPBMZMZIM4Y,READY,1779055646910,1779055646910,
dhaka_urban_heat_validation_2020_post_monsoon_1000m,7HWC27H4YVZSW4IN2WLP2INE,READY,1779055649220,1779055649220,
dhaka_urban_heat_grid_2021_post_monsoon_1000m,6L5FV2LKU4AKZV45F4XEJOEC,READY,1779055651103,1779055651103,
dhaka_urban_heat_validation_2021_post_monsoon_1000m,ZFGIDSXHUOQUZKQSV5WOVIG4,READY,1779055652106,1779055652106,
dhaka_urban_heat_grid_2022_post_monsoon_1000m,HKKIJC6KE4FNWJB4IZHBYVGV,READY,1779055654111,1779055654111,
dhaka_urban_heat_validation_2022_post_monsoon_1000m,6HQBM2WRIDW2ZFG75ZYBBGIH,READY,1779055655122,1779055655122,
dhaka_urban_heat_grid_2023_post_monsoon_1000m,XSHT6TZBSRWRVALRLGS2KFYS,READY,1779055657114,1779055657114,
dhaka_urban_heat_validation_2023_post_monsoon_1000m,O3JYABFAECZ2FTZPPTQMUGLE,READY,1779055660451,1779055660451,
dhaka_urban_heat_grid_2024_post_monsoon_1000m,RBGOBULXZXUGECI6DRISQV5I,READY,1779055662244,1779055662244,
dhaka_urban_heat_validation_2024_post_monsoon_1000m,SFCTLDDG7IFRFH72J2TUSFIV,READY,1779055664084,1779055664084,
dhaka_urban_heat_grid_2017_2024_post_monsoon_1000m,PRTDOUMWT5XRHUNVXELUWUU7,READY,1779055667126,1779055667126,
dhaka_urban_heat_validation_2017_2024_post_monsoon_1000m,QRGYHYZOFO4FC236XJL7HUJR,READY,1779055672469,1779055672469,
dhaka_urban_heat_grid_2017_winter_1000m,X3QK6LZSIHARZZY2TMLL6DZZ,READY,1779055684945,1779055684945,
dhaka_urban_heat_validation_2017_winter_1000m,L7IEVG76A7VGVFSY3VPVD356,READY,1779055686750,1779055686750,
dhaka_urban_heat_grid_2018_winter_1000m,CFVEFU6WCY2RDT2F7H3FXMZF,READY,1779055688688,1779055688688,
dhaka_urban_heat_validation_2018_winter_1000m,KOXVVKPYF77GA6ONFNBDQI73,READY,1779055690542,1779055690542,
dhaka_urban_heat_grid_2019_winter_1000m,45C3HFSLFSI5FGUACCBSHU64,READY,1779055692408,1779055692408,
dhaka_urban_heat_validation_2019_winter_1000m,S2AEAG3WBIDVYRQTXRORMENJ,READY,1779055694093,1779055694093,
dhaka_urban_heat_grid_2020_winter_1000m,SHGRCPF4QDUO3GPTZIWI27GN,READY,1779055694947,1779055694947,
dhaka_urban_heat_validation_2020_winter_1000m,4YD7KJ5BH2N6QILS7YP4JC4U,READY,1779055696949,1779055696949,
dhaka_urban_heat_grid_2021_winter_1000m,DDWGJ7UMGLYOHNWUWJ36C2QP,READY,1779055698690,1779055698690,
dhaka_urban_heat_validation_2021_winter_1000m,X7MNS4GOP36ZNVM5G7E6TIGM,READY,1779055700449,1779055700449,
dhaka_urban_heat_grid_2022_winter_1000m,2HOGEVKUH22WBOQMSE7ZLWFS,READY,1779055702808,1779055702808,
dhaka_urban_heat_validation_2022_winter_1000m,GWXTDP54JDDSHSBALZYLTKGS,READY,1779055704727,1779055704727,
dhaka_urban_heat_grid_2023_winter_1000m,4ZOFXH3VEVGFV3LTYSODYB3I,READY,1779055706609,1779055706609,
dhaka_urban_heat_validation_2023_winter_1000m,BCTLJULQVGKUIJ4NL4NOTGIJ,READY,1779055708438,1779055708438,
dhaka_urban_heat_grid_2024_winter_1000m,VAQQ5UDX4SZFWSDOB7BSUZFK,READY,1779055710277,1779055710277,
dhaka_urban_heat_validation_2024_winter_1000m,QCCGULZFIUIQOYPWABACO27F,READY,1779055711153,1779055711153,
dhaka_urban_heat_grid_2017_2024_winter_1000m,YB6RYA7OCI4FYCDTXZUHRPIW,READY,1779055714110,1779055714110,
dhaka_urban_heat_validation_2017_2024_winter_1000m,ODRQLSQQM2OWBAW7IN623FW6,READY,1779055717785,1779055717785,
